Nama,Harga,Stok,Link
iPhone 8 - Fullset Original Like New - Second - Bekas - Garansi 6 Bulan,2895000,6,https://www.bukalapak.com/p/handphone/hp-smartphone/iphone/4h4wffv-jual-iphone-8-fullset-original-like-new-second-bekas-garansi-6-bulan
Iphone Xr 128gb second fullset mulus,4698000,19,https://www.bukalapak.com/p/handphone/hp-smartphone/iphone/1ul44h9-jual-iphone-xr-128gb-second-fullset-mulus
(OFFICIAL) Iphone 12 Pro 512GB - Gold,21399000,2,https://www.bukalapak.com/p/handphone/hp-smartphone/iphone/4h59faj-jual-official-iphone-12-pro-512gb-gold
(OFFICIAL) Iphone 12 Pro Max 512GB - Graphite,22449000,1,https://www.bukalapak.com/p/handphone/hp-smartphone/iphone/4h59fl7-jual-official-iphone-12-pro-max-512gb-graphite
Iphone 13 mini 128GB - Red,12979000,1,https://www.bukalapak.com/p/handphone/hp-smartphone/iphone/4gwl98d-jual-iphone-13-mini-128gb-red
APPLE iPhone 11 Pro MAX 512GB - Midnight Green (Official Warranty),21499000,1,https://www.bukalapak.com/p/handphone/hp-smartphone/iphone/4h59evd-jual-apple-iphone-11-pro-max-512gb-midnight-green-official-warranty
Iphone 13 256GB - Starlight,17399000,4,https://www.bukalapak.com/p/handphone/hp-smartphone/iphone/4gwl99j-jual-iphone-13-256gb-starlight
iPhone 11 Pro 256Gb Second Fullset mulus terawat,7996000,145,https://www.bukalapak.com/p/handphone/hp-smartphone/iphone/3d2wxya-jual-iphone-11-pro-256gb-second-fullset-mulus-terawat
iPhone 11 Pro 64Gb Second Fullset Nominus Like new,7096000,15,https://www.bukalapak.com/p/handphone/hp-smartphone/iphone/2x3uyha-jual-iphone-11-pro-64gb-second-fullset-nominus-like-new
iPhone XR - Fullset Original Like New - Second - Bekas - Garansi 1 Tahun,4760000,10,https://www.bukalapak.com/p/handphone/hp-smartphone/iphone/4gzk3cy-jual-iphone-xr-fullset-original-like-new-second-bekas-garansi-1-tahun
iphone 8 plus 64gb second fullset mulus ex inter,3648000,21,https://www.bukalapak.com/p/handphone/hp-smartphone/iphone/2es5qj2-jual-iphone-8-plus-64gb-second-fullset-mulus-ex-inter
iPhone 12 Pro- Fullset Original Like New - Second - Bekas - Garansi 6 Bulan,11678000,9,https://www.bukalapak.com/p/handphone/hp-smartphone/iphone/4h4ifx7-jual-iphone-12-pro-fullset-original-like-new-second-bekas-garansi-6-bulan
Iphone 11 128gb Second Fullset mulus terawat,6698000,16,https://www.bukalapak.com/p/handphone/hp-smartphone/iphone/2uwuu8r-jual-iphone-11-128gb-second-fullset-mulus-terawat
iphone XS 64GB 256GB 512GB Bekas Second Ori 64 256 512 GB Seken Fulset,4550000,20,https://www.bukalapak.com/p/handphone/hp-smartphone/iphone/47ytcog-jual-iphone-xs-64gb-256gb-512gb-bekas-second-ori-64-256-512-gb-seken-fulset
Iphone 11 Pro 64gb second fullset mulus terawat,7098000,10,https://www.bukalapak.com/p/handphone/hp-smartphone/iphone/2x495gf-jual-iphone-11-pro-64gb-second-fullset-mulus-terawat
iBox iPhone 13 Pro ProMax Max 1TB Blue 512GB 256GB 128GB not 12 mini,22275000,3,https://www.bukalapak.com/p/handphone/hp-smartphone/iphone/4gwldea-jual-ibox-iphone-13-pro-promax-max-1tb-blue-512gb-256gb-128gb-not-12-mini
Iphone xs 256gb dual sim single on second fullset,4996000,14,https://www.bukalapak.com/p/handphone/hp-smartphone/iphone/1sz7hfx-jual-iphone-xs-256gb-dual-sim-single-on-second-fullset
APPLE iPhone 11 Pro MAX 64GB - Midnight Green (Official Warranty),15499000,1,https://www.bukalapak.com/p/handphone/hp-smartphone/iphone/4h59ezd-jual-apple-iphone-11-pro-max-64gb-midnight-green-official-warranty
Iphone 13 512GB - Red,20829000,3,https://www.bukalapak.com/p/handphone/hp-smartphone/iphone/4gwl9a1-jual-iphone-13-512gb-red
APPLE iPhone 11 Pro 512GB - Space Grey (Official Warranty),19999000,1,https://www.bukalapak.com/p/handphone/hp-smartphone/iphone/4h59ekd-jual-apple-iphone-11-pro-512gb-space-grey-official-warranty
(OFFICIAL) Iphone 12 Pro 512GB - Graphite,21399000,2,https://www.bukalapak.com/p/handphone/hp-smartphone/hp-android/4h59fc4-jual-official-iphone-12-pro-512gb-graphite
APPLE iPhone 11 Pro 512GB - Gold (Official Warranty),19999000,1,https://www.bukalapak.com/p/handphone/hp-smartphone/iphone/4h59epj-jual-apple-iphone-11-pro-512gb-gold-official-warranty
Iphone 13 512GB - Starlight,20989000,1,https://www.bukalapak.com/p/handphone/hp-smartphone/iphone/4gwl99y-jual-iphone-13-512gb-starlight
Iphone 12 mini 128GB - Red,11539000,2,https://www.bukalapak.com/p/handphone/hp-smartphone/iphone/4gwl99v-jual-iphone-12-mini-128gb-red
Iphone 13 512GB - Blue,21019000,4,https://www.bukalapak.com/p/handphone/hp-smartphone/iphone/4gwl9a4-jual-iphone-13-512gb-blue
Iphone 13 mini 256GB - Starlight,15459000,3,https://www.bukalapak.com/p/handphone/hp-smartphone/iphone/4gwl98y-jual-iphone-13-mini-256gb-starlight
Iphone 13 mini 256GB - Red,15449000,4,https://www.bukalapak.com/p/handphone/hp-smartphone/iphone/4gwl991-jual-iphone-13-mini-256gb-red
iPhone X Ten 64gb Second Normal Fullset mulus,4098000,19,https://www.bukalapak.com/p/handphone/hp-smartphone/iphone/23cajtd-jual-iphone-x-ten-64gb-second-normal-fullset-mulus
IPHONE 13 PRO MAX 4G ULTIMATE FS HDC,2150000,26,https://www.bukalapak.com/p/handphone/hp-smartphone/iphone/4gmtb8a-jual-iphone-13-pro-max-4g-ultimate-fs-hdc
Apple iPhone 11 64GB - 128GB - 256GB,6549000,9,https://www.bukalapak.com/p/handphone/hp-smartphone/iphone/4gf5yvg-jual-apple-iphone-11-64gb-128gb-256gb
iPhone 11 64GB - FULLSET - Apple - 64 GB - COD Semarang,5950000,990,https://www.bukalapak.com/p/handphone/hp-smartphone/iphone/49lux6s-jual-iphone-11-64gb-fullset-apple-64-gb-cod-semarang
Iphone 12 mini second original 64gb 128gb 256gb,7000000,49,https://www.bukalapak.com/p/handphone/hp-smartphone/iphone/4gwbrk1-jual-iphone-12-mini-second-original-64gb-128gb-256gb
iPhone 7 128 GB - FULLSET -  APPLE - 128GB - COD Jakarta,2300000,100,https://www.bukalapak.com/p/handphone/hp-smartphone/iphone/2rn76xc-jual-iphone-7-128-gb-fullset-apple-128gb-cod-jakarta
iPhone Xs 64gb Second Fullset No Minus,4496000,19,https://www.bukalapak.com/p/handphone/hp-smartphone/iphone/2tfcrf0-jual-iphone-xs-64gb-second-fullset-no-minus
IPHONE 8 SECOND,2600000,10,https://www.bukalapak.com/p/handphone/hp-smartphone/iphone/42obhmq-jual-iphone-8-second
